user_id,price,items_count,porcentaje
--000--,397.78000000000003,58.0,1.0
--ace--,166.82,44.0,1.0
--ionex--,99.92999999999999,23.0,1.0
-2SV-vuLB-Kg,427.5,68.0,1.0
-404PageNotFound-,1509.32,149.0,no ha hecho review
-AnimeIsMyThing-,1194.44,127.0,no ha hecho review
-Azsael-,2381.7,167.0,1.0
-Beave-,54.95,47.0,1.0
-Encore-,277.79,24.0,no ha hecho review
-GM-Dragon,822.47,106.0,0.5
-I_AM_EPIC-,129.94,20.0,1.0
-JT,224.87,26.0,no ha hecho review
-Kenny,1538.1399999999999,118.0,1.0
-KillZone-,1220.29,114.0,no ha hecho review
-Mad-,3638.23,367.0,1.0
-Naughty-,467.77,62.0,no ha hecho review
-PRoSlayeR-,2515.36,529.0,0.5
-SEVEN-,3499.33,394.0,0.7777777777777778
-SatansLittleHelper-,323.78000000000003,28.0,1.0
-Thyme-,514.69,43.0,1.0
-Ultrix,1392.92,131.0,1.0
-Uplink-,1511.18,123.0,no ha hecho review
-Zovix-,224.87,51.0,1.0
-_PussyDestroyer_-,355.69,51.0,0.6
-_skIzZ_-,374.81,40.0,no ha hecho review
-fastrvrs-,195.89,18.0,no ha hecho review
-iBubble,127.88,15.0,no ha hecho review
-kainey9777,1022.54,69.0,1.0
-xKyox-,195.85,49.0,no ha hecho review
0-3-0,1639.9399999999998,139.0,1.0
00000000000000000001227,1037.3,93.0,1.0
00000003010,331.7,59.0,no ha hecho review
0000FF,144.91,25.0,no ha hecho review
000Infinity000,109.97,30.0,no ha hecho review
001000111000111000010,728.42,71.0,1.0
001002130882,14.99,3.0,no ha hecho review
001010001,320.82,48.0,no ha hecho review
0041287,144.92,34.0,no ha hecho review
00454211432342,137.88,24.0,0.5
005577,2911.27,231.0,no ha hecho review
00690069006900,796.36,102.0,1.0
0071945,4922.849999999999,373.0,no ha hecho review
007Pro,0.0,1.0,no ha hecho review
007james_bond,2103.62,178.0,no ha hecho review
007thesilence,596.67,49.0,no ha hecho review
00810cccyyykkk,19.98,7.0,1.0
008port,418.67,71.0,no ha hecho review
0099654321891111,188.86,23.0,1.0
00True,302.86,28.0,1.0
00nana,29.98,9.0,no ha hecho review
01001000-01101001,1333.22,88.0,1.0
010195345,0.0,2.0,no ha hecho review
0102705195,0.0,3.0,no ha hecho review
010607,215.81,28.0,no ha hecho review
011000100001000111,771.56,76.0,no ha hecho review
011011010111001000101110,101.88,26.0,1.0
011111135489484797,29.98,5.0,1.0
01120477677,233.88,29.0,no ha hecho review
0112937783,429.81,31.0,no ha hecho review
01189958889189157253,1774.79,159.0,0.8333333333333334
0118999881999119,1314.94,139.0,no ha hecho review
01221733,558.61,125.0,1.0
0136849195,128.92,62.0,1.0
01398279857934,14.99,11.0,no ha hecho review
018302,502.68,42.0,no ha hecho review
01shan,24.98,5.0,1.0
0212030,104.94999999999999,7.0,no ha hecho review
022899,1133.4,80.0,1.0
0248359,223.88,10.0,no ha hecho review
025652,0.0,3.0,no ha hecho review
0271975108,669.6899999999999,62.0,no ha hecho review
0305089,582.5600000000001,97.0,no ha hecho review
03092002,255.89,24.0,1.0
03375616256,9.99,2.0,no ha hecho review
0402593613,19.98,6.0,no ha hecho review
04061993,1014.31,214.0,1.0
04092013,592.1,128.0,1.0
041112016,1379.26,98.0,no ha hecho review
0412734634,59.96,20.0,1.0
0412827540,144.91,27.0,no ha hecho review
042153100,1522.23,118.0,0.5
0421874858,340.8,31.0,no ha hecho review
04280122,1185.4,113.0,1.0
0432-026-no,79.93,14.0,1.0
04536829290339393838,130.89,28.0,no ha hecho review
0468313256,99.88,86.0,1.0
0488456,249.86,22.0,no ha hecho review
05041129,277.78,35.0,0.6666666666666666
05461025,555.6,53.0,1.0
05511301,1577.73,159.0,no ha hecho review
05zhehan,89.94999999999999,16.0,no ha hecho review
066600,468.8,72.0,no ha hecho review
0700464574757,383.71999999999997,48.0,1.0
07846813956825,1141.33,92.0,0.0
0800135723,0.0,1.0,no ha hecho review
0814551,171.89,48.0,no ha hecho review
0827777,0.99,11.0,no ha hecho review
0833422708,0.0,1.0,no ha hecho review
0854029092,19.99,5.0,1.0
0862770364,148.92000000000002,23.0,no ha hecho review
0896398616,1119.69,184.0,1.0
0898786879898,69.96,7.0,no ha hecho review
08alross,4130.66,313.0,no ha hecho review
0903512455,199.85,41.0,1.0
09106,1152.1,176.0,1.0
091263,3008.85,369.0,1.0
092688110,0.0,1.0,no ha hecho review
092982943,94.92999999999999,28.0,no ha hecho review
0935659130,466.76,59.0,no ha hecho review
094553552,689.55,89.0,1.0
095732,179.86,30.0,0.6666666666666666
095843067,2645.61,239.0,1.0
098765432108642,179.91,12.0,no ha hecho review
09876543231,215.82999999999998,25.0,1.0
098766catdogbnmnnn,227.84,42.0,1.0
09895749373554,345.74,33.0,no ha hecho review
0996633,601.7,56.0,no ha hecho review
0FI3MWAJS2849023N,331.78,36.0,no ha hecho review
0fficiaIfIaw,38.97,23.0,no ha hecho review
0nlyb0nes,224.91,22.0,no ha hecho review
0rangeZ3r0,143.88,29.0,no ha hecho review
0x0B00B135,500.62,59.0,no ha hecho review
0x426F,1728.83,149.0,no ha hecho review
1-800-Invisible,5822.0,536.0,no ha hecho review
10000000thVisitor,1105.18,106.0,1.0
1000000sdsd,54.97,22.0,no ha hecho review
100002077293140,0.0,1.0,no ha hecho review
100011101011,347.84,31.0,no ha hecho review
1000jaus,642.64,50.0,no ha hecho review
1001101001110101,3363.64,286.0,0.0
100355,524.66,50.0,no ha hecho review
10051997,1249.17,130.0,1.0
10101010101010109,3721.1,307.0,1.0
101010101111,382.8,42.0,1.0
101010102,70.93,8.0,no ha hecho review
1010102,223.85,45.0,no ha hecho review
101013483181348,14.99,7.0,no ha hecho review
1010231464,44.97,9.0,no ha hecho review
1011001,1223.17,128.0,0.9
1011010101101101010101,634.53,52.0,no ha hecho review
1011012001,49.96,14.0,no ha hecho review
101316,254.84,21.0,no ha hecho review
1016523030,0.0,6.0,1.0
101676057,270.86,29.0,no ha hecho review
10197226,271.74,36.0,1.0
101thegreenguy,1270.61,98.0,no ha hecho review
102547508,19.99,13.0,no ha hecho review
102598615,161.86,45.0,1.0
1032165460,64.95,7.0,no ha hecho review
1052218979baidu,242.85999999999999,21.0,no ha hecho review
10817,334.8,38.0,no ha hecho review
109284293753647,1837.9099999999999,150.0,no ha hecho review
10936543792,1033.25,109.0,1.0
10948278193,69.96,31.0,no ha hecho review
109654,0.0,1.0,no ha hecho review
109leonidas,1841.86,178.0,no ha hecho review
10Degree,1236.09,150.0,1.0
10gp,169.89,21.0,no ha hecho review
10outof10matee,1209.24,56.0,no ha hecho review
10oyard,209.88,20.0,1.0
11010011011,1603.01,140.0,no ha hecho review
1101167413,531.66,42.0,no ha hecho review
110211021,488.62,73.0,0.5
110321565469,817.99,76.0,no ha hecho review
1103703132946,702.56,65.0,1.0
111190869,798.56,62.0,1.0
111222333222111,274.83,28.0,no ha hecho review
111222333444555666888,1151.3799999999999,52.0,0.8571428571428571
11123xxx3122,59.95,10.0,no ha hecho review
11124,440.71,44.0,0.0
11141995,566.58,47.0,no ha hecho review
111s,2269.2400000000002,242.0,no ha hecho review
111zerosen,419.52,65.0,1.0
1122305938,2374.75,177.0,0.75
112asdasfasdasd,0.0,23.0,1.0
11345678,247.86,34.0,no ha hecho review
113595,1059.4099999999999,76.0,1.0
1136579070,686.5899999999999,82.0,1.0
11464789,301.79,37.0,no ha hecho review
11567jj,466.74,102.0,1.0
1163321,361.81,56.0,no ha hecho review
117007,129.92,15.0,no ha hecho review
117331,341.75,67.0,1.0
117a2,119.92999999999999,11.0,no ha hecho review
117arbiter,1577.53,166.0,1.0
11925219096,672.63,70.0,1.0
119922883377446655123456789,263.82,60.0,0.0
11XGX,2682.33,215.0,0.5
12021988,0.0,3.0,no ha hecho review
120445,935.77,120.0,1.0
120488700,264.92,21.0,1.0
12110604,194.89,16.0,no ha hecho review
1212343456567878909,340.82,33.0,1.0
12123871234989120,147.88,33.0,no ha hecho review
12125,1347.17,126.0,1.0
1214551565454556,0.0,4.0,no ha hecho review
121478,1599.2,129.0,no ha hecho review
121598558,0.0,9.0,no ha hecho review
12223536,2041.11,177.0,0.5
122249_700b,318.74,38.0,no ha hecho review
122799,54.97,17.0,no ha hecho review
123123123131231231,295.87,43.0,1.0
12312312332123,205.86,31.0,1.0
12312341244123,519.77,50.0,no ha hecho review
1231343263534243534,540.65,48.0,no ha hecho review
123232343432555686888554456555,623.67,65.0,1.0
1232999,732.67,64.0,no ha hecho review
12332165478953761,763.51,59.0,1.0
1233451231252123,204.91000000000003,77.0,no ha hecho review
1233zaazen,390.8,33.0,no ha hecho review
12341008,14.99,3.0,no ha hecho review
12341846,301.77,28.0,1.0
1234321115,524.68,46.0,no ha hecho review
1234455565,19.99,2.0,no ha hecho review
12345123456,312.82,33.0,no ha hecho review
1234567124567,439.76,38.0,no ha hecho review
12345676543456789098543,437.71,73.0,1.0
1234567810132,144.85,48.0,1.0
123456787654329,1328.24,131.0,no ha hecho review
12345678901234567890123456567890,2789.4,206.0,0.8571428571428571
1234567890192837465,860.52,98.0,1.0
1234567890qweccrtht,377.78999999999996,41.0,no ha hecho review
1234567890qwertyuiop,34.98,4.0,no ha hecho review
12345678910123,4.99,2.0,no ha hecho review
12345678910a,1163.4,81.0,1.0
1234567898354127873,44.95,10.0,no ha hecho review
123456789874561232145678,2822.13,269.0,1.0
123456789_Kappa,410.25,37.0,no ha hecho review
123456789diamond987654321,700.54,71.0,1.0
1234567io9872345678765432,1356.08,155.0,0.875
12345gh,204.92000000000002,17.0,no ha hecho review
1234865654,463.64,76.0,1.0
1234derpaa,434.72999999999996,44.0,no ha hecho review
