user_id,price,items_count,porcentaje,posted
--000--,397.78,58.0,1.0,2014-03-20
--ace--,166.82,44.0,1.0,2014-05-30
--ionex--,99.93,23.0,1.0,2015-08-15
-2SV-vuLB-Kg,427.5,68.0,1.0,2014-10-15
-404PageNotFound-,1509.32,149.0,no ha hecho review,0
-AnimeIsMyThing-,1194.44,127.0,no ha hecho review,0
-Azsael-,2381.7,167.0,1.0,0
-Beave-,54.95,47.0,1.0,2014-02-19
-Encore-,277.79,24.0,no ha hecho review,0
-GM-Dragon,822.47,106.0,0.5,2015-06-10
-I_AM_EPIC-,129.94,20.0,1.0,2014-02-08
-JT,224.87,26.0,no ha hecho review,0
-Kenny,1538.14,118.0,1.0,2013-12-26
-KillZone-,1220.29,114.0,no ha hecho review,0
-Mad-,3638.23,367.0,1.0,2013-10-19
-Naughty-,467.77,62.0,no ha hecho review,0
-PRoSlayeR-,2515.36,529.0,0.5,2015-09-26
-SEVEN-,3499.33,394.0,0.7777777777777778,2013-12-02
-SatansLittleHelper-,323.78000000000003,28.0,1.0,2015-05-20
-Thyme-,514.69,43.0,1.0,2013-10-11
-Ultrix,1392.92,131.0,1.0,2014-01-27
-Uplink-,1511.18,123.0,no ha hecho review,0
-Zovix-,224.87,51.0,1.0,0
-_PussyDestroyer_-,355.69,51.0,0.6,2014-06-10
-_skIzZ_-,374.81,40.0,no ha hecho review,0
-fastrvrs-,195.89,18.0,no ha hecho review,0
-iBubble,127.88,15.0,no ha hecho review,0
-kainey9777,1022.54,69.0,1.0,2015-04-29
-xKyox-,195.85,49.0,no ha hecho review,0
0-3-0,1639.9399999999998,139.0,1.0,2014-04-17
00000000000000000001227,1037.3,93.0,1.0,2013-12-21
00000003010,331.7,59.0,no ha hecho review,0
0000FF,144.91,25.0,no ha hecho review,0
000Infinity000,109.97,30.0,no ha hecho review,0
001000111000111000010,728.42,71.0,1.0,2013-11-29
001002130882,14.99,3.0,no ha hecho review,0
001010001,320.82,48.0,no ha hecho review,0
0041287,144.92,34.0,no ha hecho review,0
00454211432342,137.88,24.0,0.5,2015-12-20
005577,2911.27,231.0,no ha hecho review,0
00690069006900,796.36,102.0,1.0,0
0071945,4922.849999999999,373.0,no ha hecho review,0
007Pro,0.0,1.0,no ha hecho review,0
007james_bond,2103.62,178.0,no ha hecho review,0
007thesilence,596.67,49.0,no ha hecho review,0
00810cccyyykkk,19.98,7.0,1.0,2013-03-26
008port,418.67,71.0,no ha hecho review,0
0099654321891111,188.86,23.0,1.0,2014-04-08
00True,302.86,28.0,1.0,2014-02-04
00nana,29.98,9.0,no ha hecho review,0
01001000-01101001,1333.22,88.0,1.0,2014-04-29
010195345,0.0,2.0,no ha hecho review,0
0102705195,0.0,3.0,no ha hecho review,0
010607,215.81,28.0,no ha hecho review,0
011000100001000111,771.56,76.0,no ha hecho review,0
011011010111001000101110,101.88,26.0,1.0,2015-06-21
011111135489484797,29.98,5.0,1.0,2013-12-10
01120477677,233.88,29.0,no ha hecho review,0
0112937783,429.81,31.0,no ha hecho review,0
01189958889189157253,1774.79,159.0,0.8333333333333334,2014-07-28
0118999881999119,1314.94,139.0,no ha hecho review,0
01221733,558.61,125.0,1.0,2015-08-17
0136849195,128.92,62.0,1.0,0
01398279857934,14.99,11.0,no ha hecho review,0
018302,502.68,42.0,no ha hecho review,0
01shan,24.98,5.0,1.0,2015-05-21
0212030,104.95,7.0,no ha hecho review,0
022899,1133.4,80.0,1.0,2012-10-22
0248359,223.88,10.0,no ha hecho review,0
025652,0.0,3.0,no ha hecho review,0
0271975108,669.6899999999999,62.0,no ha hecho review,0
0305089,582.5600000000001,97.0,no ha hecho review,0
03092002,255.89,24.0,1.0,2013-12-26
03375616256,9.99,2.0,no ha hecho review,0
0402593613,19.98,6.0,no ha hecho review,0
04061993,1014.31,214.0,1.0,2013-09-01
04092013,592.1,128.0,1.0,0
041112016,1379.26,98.0,no ha hecho review,0
0412734634,59.96,20.0,1.0,2015-09-05
0412827540,144.91,27.0,no ha hecho review,0
042153100,1522.23,118.0,0.5,2014-05-17
0421874858,340.8,31.0,no ha hecho review,0
04280122,1185.4,113.0,1.0,2013-12-07
0432-026-no,79.93,14.0,1.0,2014-06-29
04536829290339393838,130.89,28.0,no ha hecho review,0
0468313256,99.88,86.0,1.0,2014-06-20
0488456,249.86,22.0,no ha hecho review,0
05041129,277.78,35.0,0.6666666666666666,2015-05-23
05461025,555.6,53.0,1.0,2015-12-05
05511301,1577.73,159.0,no ha hecho review,0
05zhehan,89.94999999999999,16.0,no ha hecho review,0
066600,468.8,72.0,no ha hecho review,0
0700464574757,383.72,48.0,1.0,2015-01-23
07846813956825,1141.33,92.0,0.0,2014-04-25
0800135723,0.0,1.0,no ha hecho review,0
0814551,171.89,48.0,no ha hecho review,0
0827777,0.99,11.0,no ha hecho review,0
0833422708,0.0,1.0,no ha hecho review,0
0854029092,19.99,5.0,1.0,2013-12-04
0862770364,148.92000000000002,23.0,no ha hecho review,0
0896398616,1119.69,184.0,1.0,2014-03-29
